,Series_Title,IMDB_Rating
949,Blow,7.6
950,Enemy at the Gates,7.6
951,Minority Report,7.6
952,The Hurricane,7.6
953,American Psycho,7.6
954,Lola rennt,7.6
955,The Thin Red Line,7.6
956,Mulan,7.6
957,Fear and Loathing in Las Vegas,7.6
958,Funny Games,7.6
959,Dark City,7.6
960,Sleepers,7.6
961,Lost Highway,7.6
962,Sense and Sensibility,7.6
963,Die Hard: With a Vengeance,7.6
964,Dead Man,7.6
965,The Bridges of Madison County,7.6
966,Apollo 13,7.6
967,Trois couleurs: Blanc,7.6
968,Falling Down,7.6
969,Dazed and Confused,7.6
970,My Cousin Vinny,7.6
971,Omohide poro poro,7.6
972,Delicatessen,7.6
973,Home Alone,7.6
974,The Godfather: Part III,7.6
975,When Harry Met Sally...,7.6
976,The Little Mermaid,7.6
977,The Naked Gun: From the Files of Police Squad!,7.6
978,"Planes, Trains & Automobiles",7.6
979,Lethal Weapon,7.6
980,Blood Simple,7.6
981,On Golden Pond,7.6
982,Mad Max 2,7.6
983,The Warriors,7.6
984,The Muppet Movie,7.6
985,Escape from Alcatraz,7.6
986,Watership Down,7.6
987,Midnight Express,7.6
988,Close Encounters of the Third Kind,7.6
989,The Long Goodbye,7.6
990,Giù la testa,7.6
991,Kelly's Heroes,7.6
992,The Jungle Book,7.6
993,Blowup,7.6
994,A Hard Day's Night,7.6
995,Breakfast at Tiffany's,7.6
996,Giant,7.6
997,From Here to Eternity,7.6
998,Lifeboat,7.6
999,The 39 Steps,7.6
